oracle_attack,asr_vs_minimal,authority_amplification,lineage_recovery,caught_by_least_privilege,caught_by_provenance
none,0.0000,0.0000,1.0000,0.0000,0.4479
trusted_echo,0.4792,0.0000,0.5208,0.6250,0.1146
